No.,通讯地址,记录日期,A相电压(V),B相电压(V),C相电压(V),A相电流(A),B相电流(A),C相电流(A),频率(Hz),总有功功率(kW),A相有功功率(kW),B相有功功率(kW),C相有功功率(kW),总无功功率(kvar),A相无功功率(kvar),B相无功功率(kvar),C相无功功率(kvar),总的功率因数,A相功率因数,B相功率因数,C相功率因数,正向有功总电能(kWh),反向有功总电能(kWh),组合无功1总电能(kvarh),组合无功2总电能(kvarh),第一象限无功总电能(kvarh),第二象限无功总电能(kvarh),第三象限无功总电能(kvarh),第四象限无功总电能(kvarh),当前有功需量(kW),当前无功需量(kvar),正向有功总电能,反向有功总电能,组合无功1总电能,组合无功2总电能
1,43307551001,2023/11/29 18:00,228.2,228.5,228,-0.049,-0.045,-0.041,49.96,,,,,,,,,-0.997,-0.996,-0.972,-0.997,0,0.01,0,0,,,,,,,,,,
2,43307551001,2023/11/29 18:30,226.5,226.7,226.2,-0.05,-0.048,-0.041,50,,,,,,,,,-0.998,-1,-0.982,-0.988,0,0.03,0,0,,,,,,,,,,
3,43307551001,2023/11/29 19:00,227.7,227.8,227.3,-0.049,-0.047,-0.041,50.03,,,,,,,,,-0.998,-1,-0.982,-0.989,0,0.04,0,0,,,,,,,,,,
4,43307551001,2023/11/29 19:30,227.5,227.9,227.4,-0.049,-0.047,-0.041,50,,,,,,,,,-0.997,-0.999,-0.976,-0.994,0,0.06,0,0,,,,,,,,,,
5,43307551001,2023/11/29 20:00,226.5,227,226.5,-0.048,-0.046,-0.043,50.01,,,,,,,,,-0.998,-1,-0.983,-0.996,0,0.07,0,0,,,,,,,,,,
6,43307551001,2023/11/29 20:30,228.7,228.9,228.2,-0.047,-0.046,-0.042,50.02,,,,,,,,,-0.999,-1,-0.99,-1,0,0.09,0,0,,,,,,,,,,
7,43307551001,2023/11/29 21:00,229.2,229.4,228.6,-0.046,-0.045,-0.044,49.97,,,,,,,,,-0.999,-0.996,-0.992,-0.995,0,0.11,0,0,,,,,,,,,,
8,43307551001,2023/11/29 21:30,229.3,229.5,228.7,-0.047,-0.045,-0.043,50.02,,,,,,,,,-0.999,-0.993,-1,-0.997,0,0.12,0,0,,,,,,,,,,
9,43307551001,2023/11/29 22:00,229.9,230.2,229.4,-0.046,-0.045,-0.043,49.95,,,,,,,,,-1,-0.998,-1,-0.998,0,0.14,0,0,,,,,,,,,,
10,43307551001,2023/11/29 22:30,230.2,230.7,229.7,-0.045,-0.047,-0.042,49.96,,,,,,,,,-0.999,-0.994,-0.994,-0.995,0,0.15,0,0,,,,,,,,,,
11,43307551001,2023/11/29 23:00,229.3,229.8,228.8,-0.046,-0.046,-0.043,49.97,,,,,,,,,-0.998,-0.995,-0.99,-1,0,0.17,0.01,0,,,,,,,,,,
12,43307551001,2023/11/29 23:30,230.6,230.9,229.8,-0.046,-0.048,-0.041,50.02,,,,,,,,,-0.998,-0.993,-0.983,-0.997,0,0.18,0.01,0,,,,,,,,,,
13,43307551001,2023/11/30 0:00,230.6,230,229.8,-0.049,-0.045,-0.042,49.96,,,,,,,,,-0.995,-0.993,-0.977,-0.982,0,0.2,0.01,0,,,,,,,,,,
14,43307551001,2023/11/30 0:30,229.6,229.2,228.7,-0.047,-0.046,-0.043,50.03,,,,,,,,,-1,-1,-0.992,-1,0,0.21,0.01,0,,,,,,,,,,
15,43307551001,2023/11/30 1:00,231.3,230.5,229.9,-0.051,-0.044,-0.041,49.98,,,,,,,,,-0.998,-1,-0.971,-0.987,0,0.23,0.01,0,,,,,,,,,,
16,43307551001,2023/11/30 1:30,231.8,231.1,230.6,-0.048,-0.046,-0.04,50,,,,,,,,,-0.998,-1,-0.976,-0.991,0,0.25,0.01,0,,,,,,,,,,
17,43307551001,2023/11/30 2:00,230.7,230.3,229.7,-0.047,-0.046,-0.04,50,,,,,,,,,-0.998,-0.99,-0.988,-0.991,0,0.26,0.01,0,,,,,,,,,,
18,43307551001,2023/11/30 2:30,231.8,231.4,230.8,-0.046,-0.048,-0.041,50.02,,,,,,,,,-0.998,-0.988,-1,-1,0,0.28,0.01,0,,,,,,,,,,
19,43307551001,2023/11/30 3:00,232.7,232.1,231.6,-0.047,-0.046,-0.04,50.02,,,,,,,,,-0.999,-0.99,-1,-1,0,0.29,0.01,0,,,,,,,,,,
20,43307551001,2023/11/30 3:30,229.4,229.5,228.6,-0.047,-0.048,-0.04,49.97,,,,,,,,,-0.999,-1,-0.993,-0.991,0,0.31,0.01,0,,,,,,,,,,
21,43307551001,2023/11/30 4:00,230.4,230.7,229.7,-0.044,-0.049,-0.042,50.02,,,,,,,,,-0.999,-1,-0.976,-0.99,0,0.32,0.01,0,,,,,,,,,,
22,43307551001,2023/11/30 4:30,231.5,231.8,230.7,-0.043,-0.047,-0.045,50.02,,,,,,,,,-0.999,-0.995,-1,-0.988,0,0.34,0.02,0,,,,,,,,,,
23,43307551001,2023/11/30 5:00,229,229,228.2,-0.047,-0.048,-0.041,49.98,,,,,,,,,-0.998,-1,-0.984,-0.989,0,0.36,0.02,0,,,,,,,,,,
24,43307551001,2023/11/30 5:30,229.9,230,229.1,-0.045,-0.047,-0.042,50.03,,,,,,,,,-0.998,-0.98,-0.981,-1,0,0.37,0.02,0,,,,,,,,,,
25,43307551001,2023/11/30 6:00,230.4,230.3,229.7,-0.046,-0.045,-0.044,49.96,,,,,,,,,-0.999,-0.984,-1,-0.99,0,0.39,0.02,0,,,,,,,,,,
26,43307551001,2023/11/30 6:30,230,230,229.4,-0.048,-0.047,-0.043,49.99,,,,,,,,,-0.998,-0.994,-0.981,-0.999,0,0.4,0.02,0,,,,,,,,,,
27,43307551001,2023/11/30 7:00,227.4,227.2,226.8,-0.046,-0.047,-0.043,49.96,,,,,,,,,-1,-1,-0.995,-1,0,0.42,0.02,0,,,,,,,,,,
28,43307551001,2023/11/30 7:30,228.5,228.3,227.8,-0.046,-0.046,-0.044,50.01,,,,,,,,,-1,-1,-1,-0.997,0,0.43,0.02,0,,,,,,,,,,
29,43307551001,2023/11/30 8:00,227.8,227.6,227.2,-0.05,-0.046,-0.043,50.02,,,,,,,,,-1,-0.991,-0.984,-1,0,0.45,0.02,0,,,,,,,,,,
